soundname,nsyll,npause,dur(s),phonationtime(s),speechrate(nsyll/dur),articulation_rate(nsyll/phonationtime),ASD(speakingtime/nsyll)
aka040post2019_eng,411,36,109.50,85.37,3.75,4.81,0.208
aka040pre2019_eng,251,16,64.49,54.12,3.89,4.64,0.216
ako002post2017_eng,430,59,123.96,87.90,3.47,4.89,0.204
ako002pre2017_eng,100,8,22.78,19.00,4.39,5.26,0.190
ami020post2018_eng,323,64,112.07,70.52,2.88,4.58,0.218
ami020pre2018_eng,192,0,33.88,33.88,5.67,5.67,0.176
cfi064post2019_eng,263,15,64.37,51.78,4.09,5.08,0.197
cfi064pre2019_eng,148,7,37.74,31.97,3.92,4.63,0.216
eal074post2019_eng,122,16,38.79,26.22,3.15,4.65,0.215
eal074pre2019_eng,105,0,19.98,19.98,5.26,5.26,0.190
fsi039post2019_eng,307,21,77.23,62.71,3.98,4.90,0.204
fsi039pre2019_eng,129,6,35.28,31.54,3.66,4.09,0.245
hmi056post2019_eng,306,0,81.48,81.48,3.76,3.76,0.266
hmi056pre2019_eng,269,12,79.18,73.05,3.40,3.68,0.272
iba024post2018_eng,132,15,40.88,29.44,3.23,4.48,0.223
iba024pre2018_eng,158,9,41.53,35.02,3.80,4.51,0.222
jej060post2019_eng,131,0,38.80,38.80,3.38,3.38,0.296
jej060pre2019_eng,157,0,30.47,30.47,5.15,5.15,0.194
kfo063post2019_eng,296,12,71.32,62.21,4.15,4.76,0.210
kfo063pre2019_eng,160,0,35.63,35.63,4.49,4.49,0.223
kgr027post2018_eng,450,51,140.85,104.80,3.19,4.29,0.233
kgr027pre2018_eng,119,7,31.94,26.77,3.73,4.45,0.225
kho061post2019_eng,232,0,56.77,56.77,4.09,4.09,0.245
kho061pre2019_eng,139,0,32.75,32.75,4.24,4.24,0.236
kpr053post2019_eng,260,20,67.51,52.38,3.85,4.96,0.201
kpr053pre2019_eng,259,0,59.24,59.24,4.37,4.37,0.229
lbl015post2018_eng,302,1,97.52,97.18,3.10,3.11,0.322
lbl015pre2018_eng,66,6,17.89,14.15,3.69,4.66,0.214
lbr008post2017_eng,678,61,175.82,140.87,3.86,4.81,0.208
lbr008pre2017_eng,395,9,101.75,97.08,3.88,4.07,0.246
lfi007post2017_eng,380,19,102.00,90.19,3.73,4.21,0.237
lfi007pre2017_eng,90,13,35.86,27.15,2.51,3.31,0.302
lwe041post2019_eng,293,34,113.85,86.35,2.57,3.39,0.295
lwe041pre2019_eng,81,6,38.35,35.21,2.11,2.30,0.435
man009post2017_eng,437,45,133.16,96.38,3.28,4.53,0.221
man009pre2017_eng,182,9,47.27,39.54,3.85,4.60,0.217
man076post2019_eng,305,6,74.94,71.22,4.07,4.28,0.234
man076pre2019_eng,135,0,33.17,33.17,4.07,4.07,0.246
nie099post2017_eng,88,8,25.53,18.08,3.45,4.87,0.205
nie099pre2017_eng,99,4,22.76,19.16,4.35,5.17,0.194
nor100post2017_eng,82,20,34.80,18.45,2.36,4.44,0.225
nor100pre2017_eng,35,5,15.49,11.10,2.26,3.15,0.317
rle018post2018_eng,67,3,21.21,19.34,3.16,3.46,0.289
rle018pre2018_eng,47,4,14.92,11.46,3.15,4.10,0.244
rme104post2017_eng,195,65,131.41,62.13,1.48,3.14,0.319
rme104pre2017_eng,102,14,32.47,23.77,3.14,4.29,0.233
sde016post2018_eng,238,0,52.54,52.54,4.53,4.53,0.221
sde016pre2018_eng,89,0,21.96,21.96,4.05,4.05,0.247
ses012post2017_eng,757,63,217.78,165.74,3.48,4.57,0.219
ses012pre2017_eng,180,2,44.16,43.31,4.08,4.16,0.241
skr089post2019_eng,372,62,136.73,83.30,2.72,4.47,0.224
skr089pre2018_eng,319,0,58.60,58.60,5.44,5.44,0.184
sma079post2019_eng,117,3,27.09,25.59,4.32,4.57,0.219
sma079pre2019_eng,838,0,180.49,180.49,4.64,4.64,0.215
tfe093post2018_eng,191,2,43.78,42.24,4.36,4.52,0.221
tfe093pre2018_eng,89,0,17.12,17.12,5.20,5.20,0.192
tho047post2019_eng,178,0,45.27,45.27,3.93,3.93,0.254
tho047pre2019_eng,127,0,28.15,28.15,4.51,4.51,0.222
wni098post2017_eng,831,115,275.59,188.03,3.02,4.42,0.226
wni098pre2017_eng,498,26,146.12,134.65,3.41,3.70,0.270
