id,phase,year,language,metric,val
aka04,post,2019,English,n_syllables,411
aka04,post,2019,English,n_pauses,36
aka04,post,2019,English,recording_duration,109.5
aka04,post,2019,English,phonation_time,85.37
aka04,post,2019,English,sr,3.75
aka04,post,2019,English,ar,4.81
aka04,post,2019,English,asd,0.208
aka04,pre,2019,English,n_syllables,251
aka04,pre,2019,English,n_pauses,16
aka04,pre,2019,English,recording_duration,64.49
aka04,pre,2019,English,phonation_time,54.12
aka04,pre,2019,English,sr,3.89
aka04,pre,2019,English,ar,4.64
aka04,pre,2019,English,asd,0.216
ako00,post,2017,English,n_syllables,430
ako00,post,2017,English,n_pauses,59
ako00,post,2017,English,recording_duration,123.96
ako00,post,2017,English,phonation_time,87.9
ako00,post,2017,English,sr,3.47
ako00,post,2017,English,ar,4.89
ako00,post,2017,English,asd,0.204
ako00,pre,2017,English,n_syllables,100
ako00,pre,2017,English,n_pauses,8
ako00,pre,2017,English,recording_duration,22.78
ako00,pre,2017,English,phonation_time,19
ako00,pre,2017,English,sr,4.39
ako00,pre,2017,English,ar,5.26
ako00,pre,2017,English,asd,0.19
ami02,post,2018,English,n_syllables,323
ami02,post,2018,English,n_pauses,64
ami02,post,2018,English,recording_duration,112.07
ami02,post,2018,English,phonation_time,70.52
ami02,post,2018,English,sr,2.88
ami02,post,2018,English,ar,4.58
ami02,post,2018,English,asd,0.218
ami02,pre,2018,English,n_syllables,192
ami02,pre,2018,English,n_pauses,0
ami02,pre,2018,English,recording_duration,33.88
ami02,pre,2018,English,phonation_time,33.88
ami02,pre,2018,English,sr,5.67
ami02,pre,2018,English,ar,5.67
ami02,pre,2018,English,asd,0.176
cfi06,post,2019,English,n_syllables,263
cfi06,post,2019,English,n_pauses,15
cfi06,post,2019,English,recording_duration,64.37
cfi06,post,2019,English,phonation_time,51.78
cfi06,post,2019,English,sr,4.09
cfi06,post,2019,English,ar,5.08
cfi06,post,2019,English,asd,0.197
cfi06,pre,2019,English,n_syllables,148
cfi06,pre,2019,English,n_pauses,7
cfi06,pre,2019,English,recording_duration,37.74
cfi06,pre,2019,English,phonation_time,31.97
cfi06,pre,2019,English,sr,3.92
cfi06,pre,2019,English,ar,4.63
cfi06,pre,2019,English,asd,0.216
eal07,post,2019,English,n_syllables,122
eal07,post,2019,English,n_pauses,16
eal07,post,2019,English,recording_duration,38.79
eal07,post,2019,English,phonation_time,26.22
eal07,post,2019,English,sr,3.15
eal07,post,2019,English,ar,4.65
eal07,post,2019,English,asd,0.215
eal07,pre,2019,English,n_syllables,105
eal07,pre,2019,English,n_pauses,0
eal07,pre,2019,English,recording_duration,19.98
eal07,pre,2019,English,phonation_time,19.98
eal07,pre,2019,English,sr,5.26
eal07,pre,2019,English,ar,5.26
eal07,pre,2019,English,asd,0.19
fsi03,post,2019,English,n_syllables,307
fsi03,post,2019,English,n_pauses,21
fsi03,post,2019,English,recording_duration,77.23
fsi03,post,2019,English,phonation_time,62.71
fsi03,post,2019,English,sr,3.98
fsi03,post,2019,English,ar,4.9
fsi03,post,2019,English,asd,0.204
fsi03,pre,2019,English,n_syllables,129
fsi03,pre,2019,English,n_pauses,6
fsi03,pre,2019,English,recording_duration,35.28
fsi03,pre,2019,English,phonation_time,31.54
fsi03,pre,2019,English,sr,3.66
fsi03,pre,2019,English,ar,4.09
fsi03,pre,2019,English,asd,0.245
hmi05,post,2019,English,n_syllables,306
hmi05,post,2019,English,n_pauses,0
hmi05,post,2019,English,recording_duration,81.48
hmi05,post,2019,English,phonation_time,81.48
hmi05,post,2019,English,sr,3.76
hmi05,post,2019,English,ar,3.76
hmi05,post,2019,English,asd,0.266
hmi05,pre,2019,English,n_syllables,269
hmi05,pre,2019,English,n_pauses,12
hmi05,pre,2019,English,recording_duration,79.18
hmi05,pre,2019,English,phonation_time,73.05
hmi05,pre,2019,English,sr,3.4
hmi05,pre,2019,English,ar,3.68
hmi05,pre,2019,English,asd,0.272
iba02,post,2018,English,n_syllables,132
iba02,post,2018,English,n_pauses,15
iba02,post,2018,English,recording_duration,40.88
iba02,post,2018,English,phonation_time,29.44
iba02,post,2018,English,sr,3.23
iba02,post,2018,English,ar,4.48
